code,num
C1072,714.9637263408927
C1128,1144.3985568486357
C1456,586.4480129523786
C1840,593.2129942597843
C1332,1134.9280906310773
C1563,1889.2245326093062
C1794,898.9865765829627
C1640,471.8143707344953
C1377,351.09336131615527
C2072,277.0543618171055
C1472,462.30682625207066
C1006,171.98633362092238
C1083,430.3141398116318
C1311,241.1703293479588
C2676,223.1009528779315
C2318,196.56106800800126
C1603,602.2107980525024
C2523,292.7986016616271
C2177,170.81323138268826
C2411,522.7463925629385
C2033,214.6232686063248
C1604,451.1703487362085
C2535,521.6606497093217
C1040,515.340316028755
C2417,457.9938846613853
C1812,153.20532768502488
C2253,140.29953409890456
C1294,499.5463185140511
C1772,503.5937637433913
C2646,534.4413909664556
C1152,810.5474790494982
C2423,140.94189796500626
C1844,554.2005383942786
C1318,290.83388075411534
C1729,76.19508656413511
C1602,296.771968088126
C1239,392.30361631806386
C1721,599.9728778678165
C1902,803.8044252336032
C1855,341.03663392504467
C2600,467.35759634608746
C1071,425.79702294418985
C2295,408.8029450792767
C1621,639.7733284557204
C1852,808.058451849225
C2555,1051.5034485785204
C1297,446.09470045454384
C2323,578.8421405920627
C2215,398.41668629192486
C2112,373.0256453422384
C1830,688.3403104948068
C2602,286.3716288920675
C2608,1031.1884322448682
C1215,636.8231495949325
C2369,647.694425274328
C1158,303.7706106401381
C1887,602.7501777585852
C1189,297.00663611783574
C1637,466.7119769050819
C1225,142.0877707393512
C2374,392.95154038384595
C2397,604.0198839666836
C1105,1023.54458235049
C1782,464.7912850585059
C1629,155.3551857564031
C1708,253.93940762500455
C2144,610.4971224653325
C1617,947.5250831204709
C1149,481.4786809446452
C1323,469.27077696895543
C1064,701.1828842434803
C1019,286.1865327083546
C2269,637.3006153371573
C1416,788.0217557017965
C1250,896.9905159971651
C1741,431.9755143349286
C1016,629.8106515486695
C2436,659.0944683536279
C2039,894.3940304576396
C1253,736.0826689703366
C2028,1070.7944688924417
C1166,313.90808551442024
C1135,268.86213826319255
C1216,299.40305508850906
C1593,260.0586243821374
C1826,266.3459696432446
C1827,414.11366844619397
C1564,277.58595721250595
C1495,1033.4713543751072
C2653,758.8895992447185
C1392,583.7202244860844
C2128,279.13195683727537
C1282,535.4633036785633
C1521,1050.45332474211
C2076,1027.5484944082389
C1060,610.3604700822817
C2473,1005.2549802277041
C2557,692.4751274459175
C1835,848.9807192102633
C2224,648.0700741340788
C2222,418.5823380538638
C2430,816.9649330953802
C2497,830.0628876136315
C1494,939.3453414756949
C1457,546.8881912334591
C1525,1064.9993002467254
C1712,539.3046837208738
C2267,976.3397027002595
C1623,297.04349261859414
C2131,532.8154589930282
C2691,1261.8535240455856
C1147,906.5663316932131
C1692,897.6421408843205
C1570,796.3106210470157
C1474,116.6222313068809
C1633,164.08352751518066
C2113,564.8071690738622
C2175,829.0867954438194
C2303,1485.1035936022427
C2547,548.8034142892393
C2292,841.602493997318
C1496,709.8583866050731
C1289,409.58020505486763
C1849,772.5955711971919
C1003,294.5790459980998
C2268,446.000328729739
C2551,669.0443631164829
C2688,80.01208348193424
C1030,40.68106834242289
C2451,554.3922896401945
C1749,590.3947587694666
C1349,287.0323406402767
C2043,248.70437909111135
C1229,260.91584851106796
C2363,503.4759373018915
C1414,542.4374456190666
C2174,458.8764634544508
C2091,117.08282179306545
C1841,69.23289652391944
C2404,110.81927949468432
C1683,219.20706326519675
C1038,317.1880572087954
C2456,225.54029975037713
C1266,416.48480159190797
C2152,49.710481587184134
C1267,417.83255796100815
C2189,191.96651691500415
C2675,0
C2335,0
C1327,0
