code,num
C1072,694.7284348686932
C1128,1268.778473918828
C1456,577.8486222031138
C1840,603.8128856192387
C1332,1191.3340070270722
C1563,1749.5588472909337
C1794,875.0595384897465
C1640,492.22624839912453
C1377,346.3533301527775
C2072,276.39114625512593
C1472,491.96619482378765
C1006,200.83914095743972
C1083,350.778227524828
C1311,259.8790550618557
C2676,228.84358551016933
C2318,224.63252521343776
C1603,594.5406769774555
C2523,306.9103310970219
C2177,169.74667148588222
C2411,426.4231779224456
C2033,224.3658387066577
C1604,436.8794917742882
C2535,474.56672260412836
C1040,503.27253849317617
C2417,465.8950645552817
C1812,156.65990539980754
C2253,141.03237743006122
C1294,511.8619999022933
C1772,454.80348447590285
C2646,535.0214865723135
C1152,786.9534422642264
C2423,139.6935068718524
C1844,537.3587795972426
C1318,286.04230571842646
C1729,90.1126433654399
C1602,285.11712067587916
C1239,421.154022897044
C1721,587.3895366072986
C1902,771.9770731584987
C1855,329.5507345959603
C2600,495.91200819688356
C1071,446.76930275220957
C2295,408.70544525235096
C1621,594.3799294267774
C1852,809.0436386067668
C2555,966.999421645525
C1297,500.24214310891864
C2323,620.2951952978601
C2215,397.61667240975726
C2112,399.5524186636001
C1830,691.9359366224894
C2602,261.53034950308563
C2608,1033.489150369553
C1215,606.1659338957127
C2369,621.8828581104779
C1158,303.66879975048727
C1887,568.5201252917301
C1189,318.07583943139815
C1637,475.7438708104278
C1225,130.38358745634403
C2374,401.5963781986746
C2397,578.2042632925039
C1105,998.2610157376205
C1782,444.00065235201083
C1629,137.8974812098086
C1708,251.17699169311462
C2144,573.3327090095024
C1617,899.508827964106
C1149,521.7955235112292
C1323,472.9118886582805
C1064,689.381810487402
C1019,258.6701226181484
C2269,647.22186338363
C1416,770.2163545845798
C1250,1000.7444472207222
C1741,469.2067005611657
C1016,512.2671302858338
C2436,647.773591082963
C2039,881.2325334740117
C1253,850.3906681443304
C2028,1044.4426265311597
C1166,306.0866207163705
C1135,249.93032207790853
C1216,279.84795194380973
C1593,245.82682615996396
C1826,251.61388385742512
C1827,384.0939228133128
C1564,264.5024429227477
C1495,1033.7763929115204
C2653,854.1644651065908
C1392,623.8378933681431
C2128,267.71198684716074
C1282,565.7747913248502
C1521,1122.1157748217154
C2076,955.1007194950475
C1060,618.2170116477645
C2473,990.7824525687561
C2557,703.1897122217088
C1835,851.4224455124555
C2224,622.0002099834841
C2222,424.37046639818635
C2430,837.0074487476419
C2497,699.5367968167817
C1494,1012.2506634623096
C1457,528.1183563077351
C1525,1051.9192742318173
C1712,560.4939019678814
C2267,950.4977487416236
C1623,285.88624759095484
C2131,573.7875039241206
C2691,1332.4565192075715
C1147,926.2713063873224
C1692,913.3980861023186
C1570,784.0094855330775
C1474,85.79683452520891
C1633,178.87830205962254
C2113,570.6867612872802
C2175,887.3865544440932
C2303,1477.2636511218655
C2547,605.2941228231447
C2292,851.6724340791465
C1496,778.2040538668434
C1289,425.99774001786784
C1849,740.3547958972937
C1003,219.2443211899363
C2268,453.13944679986975
C2551,642.2460114289742
C2688,84.79104236604083
C1030,44.76722784020166
C2451,595.1432927970623
C1749,503.41588559481704
C1349,255.98860213387252
C2043,242.93619874821505
C1229,248.79402729715784
C2363,492.93567071757
C1414,562.6916754233658
C2174,427.3798357470861
C2091,99.25396582862649
C1841,78.92755061436766
C2404,123.08360710385509
C1683,193.91471743628628
C1038,279.5035301170272
C2456,180.48945469842772
C1266,432.0819301149153
C2152,45.97095063498247
C1267,338.21887105967585
C2189,203.34760161717418
C2675,0
C2335,0
C1327,0
